Pays,Life_exp,Mortality,Urban,Iliteracy,Water,Telephone,Vehicles,Fertility,Hosp_beds,Physicians
Albanie,72.00,25.00,40.00,16.50,76.00,31.00,27.00,2.5,3.2,1.4
Algérie,71.00,35.00,59.00,35.00,90.00,53.00,25.00,3.5,2.1,0.8
Angola,47.00,124.00,33.00,41.00,32.00,6.00,18.00,6.7,1.3,0
Argentine,73.00,19.00,89.00,3.00,65.00,203.00,137.00,2.6,3.3,2.7
Arménie,74.00,15.00,69.00,2.00,99.00,157.00,0,1.3,7.6,3
Australie,79.00,5.00,85.00,3.00,99.00,512.00,488.00,1.8,8.5,2.5
Autriche,78.00,5.00,65.00,2.00,100.00,491.00,481.00,1.3,9.2,2.8
Azerbeidjan,71.00,17.00,57.00,3.00,97.00,89.00,36.00,2,9.7,3.8
Bangladesh,59.00,73.00,23.00,60.00,84.00,3.00,1.00,3.1,0.3,0.2
Bélarus,68.00,11.00,71.00,0.5,100.00,241.00,2.00,1.3,12.2,4.3
Belgique,78.00,6.00,97.00,2.00,100.00,500.00,435.00,1.6,7.2,3.4
Bénin,53.00,87.00,41.00,61.50,50.00,7.00,7.00,5.7,0.2,0.1
Bolivie,62.00,60.00,61.00,15.50,55.00,69.00,32.00,4.1,1.7,1.3
Botswana,46.00,62.00,49.00,24.50,70.00,65.00,15.00,4.2,1.6,0.2
Brésil,67.00,33.00,80.00,16.00,72.00,121.00,88.00,2.3,3.1,1.3
Bulgarie,71.00,14.00,69.00,1.50,99.00,329.00,220.00,1.1,10.6,3.5
Burkina_Faso,44.00,104.00,17.00,77.50,42.00,4.00,4.00,6.7,1.4,0
Burundi,42.00,118.00,8.00,54.00,52.00,3.00,2.00,6.2,0.7,0.1
Cambodge,54.00,102.00,15.00,61.50,13.00,2.00,5.00,4.5,2.1,0.1
Cameroun,54.00,77.00,47.00,26.50,41.00,5.00,7.00,5,2.6,0.1
Canada,79.00,5.00,77.00,35.00,99.00,634.00,455.00,1.6,4.2,2.1
Centrafrique,44.00,98.00,40.00,55.50,19.00,3.00,0,4.8,0.9,0.1
Tchad,48.00,99.00,23.00,60.00,24.00,1.00,3.00,6.4,0.7,0
Chili,75.00,10.00,85.00,4.50,85.00,205.00,71.00,2.2,2.7,1.1
